AC_TYPEID,SSD_NAME,MANUFACTURER,LONG_NAME,SHORT_NAME,BEGIN_DATE,END_DATE
788,GLOBAL 6000,BOMBARDIER ,BOMBARDIER GLOBAL 6000,GL6000,01-01-14,9999
792,YAKOLEV 42,YAKOLEV,YAKOLEV YAK-42,YAK-42,01-01-90,9999
800,BOEING 707-100,BOEING,BOEING 707-100,B707-100,01-01-90,9999
802,BOEING 707-100B,BOEING,BOEING 707-100B,B707-1B,01-01-90,9999
804,BOEING 707-200,BOEING,BOEING 707-200,B707-2,01-01-90,9999
806,BOEING 707-300,BOEING,BOEING 707-300,B707-3,01-01-90,9999
808,BOEING 707-300B,BOEING,BOEING 707-300B,B707-3B,01-01-90,9999
809,BOEING 707-300C,BOEING,BOEING 707-300C,B707-3C,01-01-90,9999
810,BOEING 707-400,BOEING,BOEING 707-400,B707-4,01-01-90,9999
812,BOEING 720,BOEING,BOEING 720-000,B720-0,01-01-90,9999
814,BOEING 720-B,BOEING,BOEING 720-000B,B720-B,01-01-90,9999
816,BOEING 747-100,BOEING,BOEING 747-100,B747-100,01-01-90,9999
817,BOEING 747-200/300,BOEING,BOEING 747-200/300,B747-2/3,01-01-90,9999
818,BOEING 747C,BOEING,BOEING 747C,B747C,01-01-90,9999
819,BOEING 747-400,BOEING,BOEING 747-400,B747-4,01-01-90,9999
820,BOEING 747-4F,BOEING,BOEING 747-400F,B747-4F,01-01-90,9999
821,BOEING B747-8,BOEING,BOEING B747-8,B747-8,01-01-10,9999
822,BOEING 747SP,BOEING,BOEING 747SP,B747SP,01-01-90,9999
823,BOEING 747-200F,BOEING,BOEING 747-200F,B747-2F,01-01-90,9999
825,CONVAIR 880,CONVAIR,CONVAIR 880 (CV-22/22M),CV-880,01-01-90,9999
830,CONVAIR 990,CONVAIR,CONVAIR 990 CORONADO (CV-30),CORONADO,01-01-90,9999
833,EMB LEGACY 650,EMBRAER ,EMBRAER LEGACY 650,LEG-650,01-10-16,9999
835,AVROLINER RJ85,AVRO INTERNATIONAL AEROSPACE,AVROLINER RJ85,AV RJ85,01-01-97,9999
836,A350-1000,AIRBUS,AIRBUS 350-1000,A350-10,01-01-17,9999
837,B787-10 DREAMLINER,BOEING,BOEING 787-10 DREAMLINER,B787-10,01-01-17,9999
838,B737 MAX 800,BOEING,BOEING B737 MAX 800,MAX 8,01-07-16,9999
839,B737 MAX 900,BOEING,BOEING B737 MAX 900,MAX 9,01-07-16,9999
840,DOUGLAS DC-8-10,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-10,DC-8-10,01-01-90,9999
842,DOUGLAS DC-8-20,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-20,DC-8-20,01-01-90,9999
844,DOUGLAS DC-8-30,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-30,DC-8-30,01-01-90,9999
846,DOUGLAS DC-8-40,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-40,DC-8-40,01-01-90,9999
848,DOUGLAS DC-8-50,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-50,DC-8-50,01-01-90,9999
850,DOUGLAS DC-8-50F,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-50F,DC-8-50F,01-01-90,9999
851,DOUGLAS DC-8-61,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-61,DC-8-61,01-01-90,9999
852,DOUGLAS DC-8-63F,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-63F,DC-8-63F,01-01-90,9999
854,DOUGLAS DC-8-62,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-62,DC-8-62,01-01-90,9999
856,DOUGLAS DC-8-63,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-63,DC-8-63,01-01-90,9999
860,DOUGLAS DC-8-71,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-71,DC-8-71,01-01-90,9999
862,DOUGLAS DC-8-72,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-72,DC-8-72,01-01-90,9999
864,DOUGLAS DC-8-73,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-73,DC-8-73,01-01-90,9999
